case,kind,K,S,n,seed,iterations,expected_rows,expected_columns,expected_has_V,expected_has_K,expected_class,expected_family,expected_role,expected_names,expected_result_md5,threshold_basis,calibration_run_id,timing_advisory_seconds,timing_hard_seconds,object_advisory_bytes,object_hard_bytes,serialized_advisory_bytes,serialized_hard_bytes,robust_cv_limit,max_median_ratio_limit,allocation_blocking
synthetic_c_small,synthetic_c,3,5,64,20260723,5,15,20,TRUE,TRUE,sitemix_estimates|tbl_df|tbl|data.frame,multinomial,summary_uncertainty,site_id|year|indicator|theta_raw|theta_hat|se_raw|se|n|n_eff|estimate_scale|transform|var_method|flag_small_n|flag_zero_cell|input_mode|flag_suppressed|framing|flag_below_accountability|V|K,6a8177fb1bc8fbcd8465cacf1eff6d2d,post_phase6_future_regression_calibration,step68_initial_calibration_20260713,0.5,2,102327,116280,1511,1717,0.15,3,FALSE
synthetic_c_medium,synthetic_c,8,25,128,20260724,2,200,20,TRUE,TRUE,sitemix_estimates|tbl_df|tbl|data.frame,multinomial,summary_uncertainty,site_id|year|indicator|theta_raw|theta_hat|se_raw|se|n|n_eff|estimate_scale|transform|var_method|flag_small_n|flag_zero_cell|input_mode|flag_suppressed|framing|flag_below_accountability|V|K,8ae31d140c7b3057b9097524816c8615,post_phase6_future_regression_calibration,step68_initial_calibration_20260713,1.5,4,1642424,1866390,10061,11433,0.15,2,FALSE
synthetic_c_large,synthetic_c,16,100,128,20260725,1,1600,20,TRUE,TRUE,sitemix_estimates|tbl_df|tbl|data.frame,multinomial,summary_uncertainty,site_id|year|indicator|theta_raw|theta_hat|se_raw|se|n|n_eff|estimate_scale|transform|var_method|flag_small_n|flag_zero_cell|input_mode|flag_suppressed|framing|flag_below_accountability|V|K,1437a5b74f238c342e49cfd885af5210,post_phase6_future_regression_calibration,step68_initial_calibration_20260713,5,10,19294176,21925200,128441,145955,0.15,2,FALSE
alprek_scenario_b_counts_vjt,alprek,3,250,0,0,1,750,20,TRUE,TRUE,sitemix_estimates|tbl_df|tbl|data.frame,multivariate,summary_uncertainty,site_id|year|indicator|theta_raw|theta_hat|se_raw|se|n|n_eff|estimate_scale|transform|var_method|flag_small_n|flag_zero_cell|input_mode|flag_suppressed|framing|flag_below_accountability|V|K,7401958552398047196908b3a65b8ef3,post_phase6_future_regression_calibration,step68_initial_calibration_20260713,4,8,4864438,5527770,34415,39108,0.15,2,FALSE
alprek_aggregate_d0_frpm_vjt,alprek,1,250,0,0,1,250,19,TRUE,FALSE,sitemix_estimates|tbl_df|tbl|data.frame,binomial,summary_uncertainty,site_id|year|indicator|theta_raw|theta_hat|se_raw|se|n|n_eff|estimate_scale|transform|var_method|flag_small_n|flag_zero_cell|input_mode|flag_suppressed|framing|flag_below_accountability|V,f2efed9c2f3b6a995e5969c15921496f,post_phase6_future_regression_calibration,step68_initial_calibration_20260713,1,4,1418217,1611610,12117,13769,0.15,2,FALSE
alprek_aggregate_d1_four_indicator_vjt,alprek,4,250,0,0,1,1000,20,TRUE,TRUE,sitemix_estimates|tbl_df|tbl|data.frame,multivariate,summary_uncertainty,site_id|year|indicator|theta_raw|theta_hat|se_raw|se|n|n_eff|estimate_scale|transform|var_method|flag_small_n|flag_zero_cell|input_mode|flag_suppressed|framing|flag_below_accountability|V|K,78fceaf2638f33bf5036608488fda599,post_phase6_future_regression_calibration,step68_initial_calibration_20260713,4,8,6761921,7684000,33041,37547,0.15,2,FALSE
