"student_id","site_id","year","frpm","snap","wic","tanf"
"ST00001","S001",2021,0,1,1,0
"ST00030","S001",2021,1,1,1,0
"ST00031","S001",2021,0,1,1,0
"ST00032","S001",2021,0,1,1,0
"ST00037","S001",2021,1,1,1,0
"ST00041","S001",2021,1,1,1,0
"ST00042","S001",2021,1,0,1,0
"ST00043","S001",2021,1,1,0,0
"ST00044","S001",2021,1,1,0,0
"ST00045","S001",2021,1,1,1,0
"ST00002","S001",2022,0,1,1,0
"ST00004","S001",2022,0,0,1,0
"ST00007","S001",2022,1,1,0,0
"ST00008","S001",2022,0,0,0,0
"ST00010","S001",2022,1,1,0,0
"ST00011","S001",2022,1,1,0,0
"ST00012","S001",2022,0,0,1,0
"ST00023","S001",2022,0,0,0,0
"ST00028","S001",2022,1,1,0,0
"ST00033","S001",2022,0,0,1,0
"ST00039","S001",2022,1,1,1,0
"ST00040","S001",2022,1,0,0,0
"ST00006","S001",2023,1,1,0,0
"ST00013","S001",2023,1,0,0,0
"ST00014","S001",2023,1,1,0,0
"ST00015","S001",2023,0,1,1,0
"ST00016","S001",2023,1,1,1,0
"ST00019","S001",2023,0,1,1,0
"ST00024","S001",2023,1,1,0,1
"ST00029","S001",2023,1,1,1,0
"ST00035","S001",2023,0,0,0,0
"ST00003","S001",2024,0,0,0,0
"ST00005","S001",2024,1,1,1,0
"ST00009","S001",2024,0,1,1,0
"ST00017","S001",2024,1,1,1,0
"ST00021","S001",2024,1,1,1,0
"ST00022","S001",2024,0,0,1,0
"ST00026","S001",2024,0,0,1,0
"ST00034","S001",2024,0,0,1,0
"ST00036","S001",2024,0,1,1,0
"ST00038","S001",2024,1,1,1,1
"ST00018","S001",2025,1,1,1,1
"ST00020","S001",2025,1,1,0,0
"ST00025","S001",2025,0,0,0,0
"ST00027","S001",2025,1,1,0,0
"ST00087","S002",2021,0,0,0,0
"ST00088","S002",2021,1,1,0,0
"ST00089","S002",2021,0,0,1,0
"ST00092","S002",2021,0,1,0,0
"ST00093","S002",2021,1,1,0,0
"ST00095","S002",2021,0,0,0,0
"ST00048","S002",2022,0,0,0,0
"ST00049","S002",2022,0,1,0,0
"ST00055","S002",2022,1,0,1,0
"ST00061","S002",2022,1,0,0,0
"ST00068","S002",2022,0,0,0,0
"ST00073","S002",2022,0,0,0,0
"ST00075","S002",2022,1,1,0,0
"ST00081","S002",2022,0,0,1,0
"ST00086","S002",2022,1,0,0,0
"ST00046","S002",2023,0,1,1,0
"ST00050","S002",2023,0,0,0,0
"ST00052","S002",2023,0,0,0,0
"ST00056","S002",2023,0,1,1,0
"ST00058","S002",2023,0,0,0,0
"ST00060","S002",2023,0,0,0,0
"ST00066","S002",2023,1,0,1,0
"ST00067","S002",2023,1,0,0,0
"ST00070","S002",2023,1,0,0,0
"ST00080","S002",2023,1,1,1,0
"ST00047","S002",2024,1,0,1,0
"ST00059","S002",2024,0,0,0,0
"ST00063","S002",2024,0,0,1,0
"ST00064","S002",2024,0,1,1,0
"ST00069","S002",2024,1,1,1,0
"ST00072","S002",2024,0,0,0,0
"ST00074","S002",2024,0,0,0,0
"ST00076","S002",2024,0,1,1,0
"ST00077","S002",2024,0,0,0,0
"ST00051","S002",2025,0,0,0,0
"ST00053","S002",2025,0,0,0,0
"ST00054","S002",2025,0,0,0,0
"ST00057","S002",2025,0,0,0,0
"ST00062","S002",2025,1,0,0,0
"ST00065","S002",2025,0,0,0,0
"ST00071","S002",2025,1,0,1,0
"ST00078","S002",2025,0,0,0,0
"ST00079","S002",2025,0,0,0,0
"ST00082","S002",2025,0,0,0,0
"ST00083","S002",2025,0,0,0,0
"ST00084","S002",2025,0,0,0,0
"ST00085","S002",2025,0,0,0,0
"ST00090","S002",2025,0,0,0,0
"ST00091","S002",2025,0,0,0,0
"ST00094","S002",2025,1,0,0,0
"ST00096","S003",2021,0,0,0,0
"ST00133","S003",2021,0,0,0,0
"ST00134","S003",2021,1,0,1,0
"ST00135","S003",2021,1,1,0,0
"ST00136","S003",2021,0,1,1,0
"ST00137","S003",2021,0,0,0,0
"ST00138","S003",2021,0,1,1,0
"ST00139","S003",2021,1,1,0,0
"ST00140","S003",2021,1,1,0,0
"ST00143","S003",2021,0,0,1,0
"ST00144","S003",2021,0,0,0,0
"ST00145","S003",2021,0,1,0,0
"ST00147","S003",2021,1,1,1,0
"ST00148","S003",2021,0,0,0,0
"ST00099","S003",2022,1,0,0,0
"ST00105","S003",2022,1,1,0,0
"ST00106","S003",2022,1,1,0,0
"ST00110","S003",2022,1,0,0,0
"ST00112","S003",2022,1,0,1,0
"ST00115","S003",2022,1,1,1,0
"ST00119","S003",2022,0,0,0,0
"ST00120","S003",2022,0,0,0,0
"ST00121","S003",2022,1,0,0,0
"ST00122","S003",2022,0,1,0,0
"ST00124","S003",2022,1,1,0,0
"ST00125","S003",2022,0,0,0,0
"ST00126","S003",2022,0,1,1,0
"ST00102","S003",2023,1,0,1,0
"ST00107","S003",2023,1,0,0,0
"ST00113","S003",2023,0,0,0,0
"ST00118","S003",2023,1,1,1,0
"ST00127","S003",2023,0,0,0,0
"ST00131","S003",2023,1,1,0,0
"ST00141","S003",2023,0,0,0,0
"ST00146","S003",2023,1,0,0,0
"ST00097","S003",2024,1,1,0,0
"ST00098","S003",2024,0,0,1,0
"ST00103","S003",2024,1,1,0,0
"ST00104","S003",2024,1,0,0,0
"ST00111","S003",2024,0,0,0,0
"ST00114","S003",2024,1,1,0,0
"ST00116","S003",2024,0,0,0,0
"ST00117","S003",2024,1,1,1,0
"ST00123","S003",2024,0,0,0,0
"ST00130","S003",2024,1,1,1,0
"ST00132","S003",2024,0,0,0,0
"ST00100","S003",2025,0,0,0,0
"ST00101","S003",2025,1,0,0,0
"ST00108","S003",2025,1,1,1,0
"ST00109","S003",2025,0,0,0,0
"ST00128","S003",2025,0,0,0,0
"ST00129","S003",2025,1,0,1,0
"ST00142","S003",2025,1,1,0,0
"ST00149","S003",2025,1,0,0,0
"ST00150","S004",2021,0,0,0,0
"ST00151","S004",2021,1,0,0,0
"ST00192","S004",2021,1,1,0,0
"ST00193","S004",2021,1,0,0,0
"ST00194","S004",2021,1,0,0,0
"ST00197","S004",2021,0,1,0,1
"ST00198","S004",2021,0,1,0,1
"ST00199","S004",2021,0,1,0,0
"ST00200","S004",2021,0,0,1,0
"ST00201","S004",2021,0,0,0,0
"ST00204","S004",2021,1,1,0,0
"ST00205","S004",2021,1,0,0,0
"ST00207","S004",2021,1,0,0,0
"ST00152","S004",2022,0,0,0,0
"ST00153","S004",2022,1,0,0,0
"ST00154","S004",2022,0,0,0,0
"ST00162","S004",2022,0,0,0,0
"ST00166","S004",2022,1,0,1,0
"ST00170","S004",2022,1,0,0,0
"ST00175","S004",2022,0,0,0,0
"ST00176","S004",2022,1,1,0,0
"ST00178","S004",2022,1,1,1,0
"ST00180","S004",2022,1,1,0,0
"ST00189","S004",2022,0,1,0,0
"ST00190","S004",2022,0,1,1,0
"ST00191","S004",2022,1,1,0,0
"ST00195","S004",2022,0,1,1,0
"ST00159","S004",2023,0,0,1,0
"ST00161","S004",2023,0,0,0,0
"ST00167","S004",2023,1,0,0,0
"ST00171","S004",2023,0,0,1,0
"ST00173","S004",2023,0,1,0,0
"ST00177","S004",2023,1,0,0,0
"ST00185","S004",2023,1,1,0,0
"ST00188","S004",2023,0,0,0,0
"ST00202","S004",2023,0,0,0,0
"ST00157","S004",2024,0,0,0,0
"ST00169","S004",2024,0,0,0,0
"ST00174","S004",2024,0,0,0,0
"ST00182","S004",2024,0,1,1,0
"ST00184","S004",2024,1,1,0,0
"ST00186","S004",2024,1,1,1,0
"ST00196","S004",2024,0,0,0,0
"ST00203","S004",2024,1,1,0,0
"ST00206","S004",2024,0,0,0,0
"ST00155","S004",2025,0,0,0,0
"ST00156","S004",2025,0,0,1,0
"ST00158","S004",2025,0,0,0,0
"ST00160","S004",2025,1,1,1,0
"ST00163","S004",2025,0,0,0,0
"ST00164","S004",2025,0,1,1,0
"ST00165","S004",2025,1,0,0,0
"ST00168","S004",2025,1,0,0,0
"ST00172","S004",2025,0,0,0,0
"ST00179","S004",2025,0,0,0,0
